,A1MHMS,A1MHMU,A3MHMS,A3MHMU,A4HPMS,A4HPMU,RAC1P,WGTCN,ABSI,AC,ACR,ACE2,ALMS,ALMU,ALB,ALP,AABMS,AABMU,AMC,AAAMU
A1MHMS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A1MHMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3MHMS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3MHMU,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A4HPMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4HPMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAC1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGTCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSI,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
AC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALP,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
AABMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AAAMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
